instance,name,num,seed,initial_ct,final_ct,time,solution_file
1_hes,heskia,1,10,422.0,94,0.10822319984436035,solutions/ils/1_hes_ils_seed10.txt
1_hes,heskia,1,11,181.0,94,15.31787395477295,solutions/ils/1_hes_ils_seed11.txt
1_hes,heskia,1,12,143.0,94,6.944722890853882,solutions/ils/1_hes_ils_seed12.txt
1_hes,heskia,1,13,133.0,94,4.931672096252441,solutions/ils/1_hes_ils_seed13.txt
1_hes,heskia,1,14,141.0,94,0.07940292358398438,solutions/ils/1_hes_ils_seed14.txt
2_hes,heskia,2,10,132.0,95,1.055156946182251,solutions/ils/2_hes_ils_seed10.txt
2_hes,heskia,2,11,96.0,95,1.1456148624420166,solutions/ils/2_hes_ils_seed11.txt
2_hes,heskia,2,12,122.0,95,3.2059528827667236,solutions/ils/2_hes_ils_seed12.txt
2_hes,heskia,2,13,145.0,95,24.902654886245728,solutions/ils/2_hes_ils_seed13.txt
2_hes,heskia,2,14,124.0,95,0.45374393463134766,solutions/ils/2_hes_ils_seed14.txt
11_hes,heskia,11,10,597.0,172,22.414488077163696,solutions/ils/11_hes_ils_seed10.txt
11_hes,heskia,11,11,371.0,172,22.059974908828735,solutions/ils/11_hes_ils_seed11.txt
11_hes,heskia,11,12,597.0,172,20.800421714782715,solutions/ils/11_hes_ils_seed12.txt
11_hes,heskia,11,13,545.0,172,21.579283952713013,solutions/ils/11_hes_ils_seed13.txt
11_hes,heskia,11,14,421.0,172,21.954848051071167,solutions/ils/11_hes_ils_seed14.txt
12_hes,heskia,12,10,170.0,107,1.1399812698364258,solutions/ils/12_hes_ils_seed10.txt
12_hes,heskia,12,11,242.0,107,9.674463987350464,solutions/ils/12_hes_ils_seed11.txt
12_hes,heskia,12,12,162.0,113,23.937488079071045,solutions/ils/12_hes_ils_seed12.txt
12_hes,heskia,12,13,188.0,107,19.06840205192566,solutions/ils/12_hes_ils_seed13.txt
12_hes,heskia,12,14,206.0,107,0.5823700428009033,solutions/ils/12_hes_ils_seed14.txt
41_hes,heskia,41,10,72.0,35,5.1432271003723145,solutions/ils/41_hes_ils_seed10.txt
41_hes,heskia,41,11,74.0,35,17.107868909835815,solutions/ils/41_hes_ils_seed11.txt
